Date,US,US,Euro Area,Euro Area,Japan,Japan,UK,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,US,Euro Area,Japan,UK
Date,Interest Rate,Inflation,Interest Rate,Inflation,Interest Rate,Inflation,Interest Rate,Value,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,BoT % growth MoM,BoT % growth MoM,BoT % growth MoM,BoT % growth MoM,BoT % growth YoY,BoT % growth YoY,BoT % growth YoY,BoT % growth YoY,GDP USD,GDP Euro,GDP Yen,GDP Pound,GDP % growth MoM,GDP % growth MoM,GDP % growth MoM,GDP % growth MoM,GDP % growth YoY,GDP % growth YoY,GDP % growth YoY,GDP % growth YoY,UNRATE,FD-GDP%,FD-GDP%,FD-GDP%,FD-GDP%
1999-01-01,4.63,73.180, 3.00 ,73.44,0.22526,98.1,6.25,71.4, (15.6), (2.5), 6.6 , (0.8),,,,,,,,," 13,316 "," 2,024,046 "," 467,365 "," 382,789 ",,,,,,,,,4.3,,,,
1999-02-01,4.76,73.155, 3.00 ,73.61,0.17632,97.7,6,71.5, (18.2), 1.8 , 8.2 , (0.8),16%,-171%,23%,-5%,,,,," 13,353 "," 2,027,348 "," 467,969 "," 383,393 ",0.28%,0.16%,0.13%,0.16%,,,,,4.4,,,,
1999-03-04,4.81,73.177, 3.00 ,73.85,0.04091,97.8,5.5,71.9, (17.5), 2.5 , 11.4 , (0.8),-4%,43%,40%,-1%,,,,," 13,390 "," 2,030,655 "," 468,574 "," 383,999 ",0.28%,0.16%,0.13%,0.16%,,,,,4.2,,,,
1999-04-04,4.74,73.365, 2.63 ,74.11,0.03143,98.3,5.5,72.2, (18.0), 1.9 , 9.1 , (0.6),3%,-23%,-20%,-21%,,,,," 13,427 "," 2,033,968 "," 469,180 "," 384,605 ",0.28%,0.16%,0.13%,0.16%,,,,,4.3,,,,
1999-05-05,4.74,73.435, 2.50 ,74.16,0.03,98.3,5.25,72.4, (20.4), (0.8), 7.2 , (0.4),14%,-142%,-21%,-41%,,,,," 13,486 "," 2,042,828 "," 470,012 "," 386,645 ",0.44%,0.44%,0.18%,0.53%,,,,,4.2,,,,
1999-06-05,4.76,73.474, 2.50 ,74.16,0.03,98,5.25,72.3, (23.0), 5.2 , 10.2 , (0.8),13%,-735%,41%,120%,,,,," 13,545 "," 2,051,727 "," 470,844 "," 388,696 ",0.44%,0.44%,0.18%,0.53%,,,,,4.3,,,,
1999-07-06,4.99,73.606, 2.50 ,74.26,0.03,97.6,5,71.9, (23.4), 9.0 , 10.9 , (0.6),2%,73%,7%,-22%,,,,," 13,605 "," 2,060,664 "," 471,678 "," 390,758 ",0.44%,0.44%,0.18%,0.53%,,,,,4.3,,,,
1999-08-06,5.07,73.642, 2.50 ,74.35,0.03,97.9,5,72.1, (22.9), 0.5 , 6.1 , (0.5),-2%,-94%,-44%,-18%,,,,," 13,679 "," 2,067,713 "," 471,727 "," 392,615 ",0.54%,0.34%,0.01%,0.48%,,,,,4.2,,,,
1999-09-06,5.22,73.837, 2.50 ,74.43,0.0325,98.2,5,72.4, (23.0), (0.9), 12.0 , (0.2),0%,-276%,97%,-54%,,,,," 13,753 "," 2,074,785 "," 471,776 "," 394,482 ",0.54%,0.34%,0.01%,0.48%,,,,,4.2,,,,
1999-10-07,5.2,73.963, 2.50 ,74.47,0.0245,98.4,5.25,72.3, (23.8), 3.2 , 10.3 , (0.4),3%,-449%,-15%,54%,,,,," 13,828 "," 2,081,882 "," 471,824 "," 396,357 ",0.54%,0.34%,0.01%,0.48%,,,,,4.1,,,,
1999-11-07,5.42,74.034, 2.93 ,74.57,0.0275,97.8,5.5,72.4, (24.8), 0.6 , 5.8 , (0.4),4%,-81%,-43%,4%,,,,," 13,845 "," 2,091,089 "," 474,525 "," 397,979 ",0.12%,0.44%,0.57%,0.41%,,,,,4.1,,,,
1999-12-08,5.3,74.128, 3.00 ,74.83,0.02429,97.5,5.5,72.6, (25.1), 0.2 , 9.8 , (0.3),1%,-61%,69%,-15%,,,,," 13,861 "," 2,100,336 "," 477,241 "," 399,607 ",0.12%,0.44%,0.57%,0.41%,,,,,4.0,,,,
2000-01-02,5.45,74.306, 3.00 ,74.86,0.02053,97.4,5.5,71.9, (26.5), (8.5), 4.8 , (0.6),6%,-3809%,-51%,96%,70%,242%,-27%,-25%," 13,878 "," 2,109,625 "," 479,972 "," 401,242 ",0.12%,0.44%,0.57%,0.41%,4.22%,4.23%,2.70%,4.82%,4.0,0.19%,-0.11%,-0.63%,0.12%
2000-02-02,5.73,74.415, 3.22 ,75.1,0.0345,97.1,5.75,72.2, (28.6), (0.0), 10.9 , (0.5),8%,-100%,127%,-14%,58%,-102%,34%,-32%," 13,962 "," 2,115,759 "," 480,685 "," 402,224 ",0.60%,0.29%,0.15%,0.24%,4.56%,4.36%,2.72%,4.91%,4.1,0.19%,-0.11%,-0.63%,0.12%
2000-03-04,5.85,74.568, 3.37 ,75.37,0.02136,97.3,6,72.3, (30.1), (0.7), 10.3 , (0.3),5%,2365%,-6%,-46%,72%,-127%,-10%,-63%," 14,046 "," 2,121,912 "," 481,399 "," 403,209 ",0.60%,0.29%,0.15%,0.24%,4.90%,4.49%,2.74%,5.00%,4.0,0.19%,-0.11%,-0.63%,0.12%
2000-04-04,6.02,74.617, 3.53 ,75.45,0.02,97.5,6,72.6, (28.7), (2.5), 10.6 , (0.6),-5%,281%,3%,118%,60%,-231%,16%,1%," 14,131 "," 2,128,083 "," 482,115 "," 404,196 ",0.60%,0.29%,0.15%,0.24%,5.24%,4.63%,2.76%,5.09%,3.8,0.19%,-0.11%,-0.63%,0.12%
2000-05-05,6.27,74.697, 3.75 ,75.54,0.021,97.6,6,72.8, (29.9), (3.9), 5.3 , (0.4),4%,55%,-50%,-32%,46%,381%,-26%,17%," 14,136 "," 2,132,724 "," 482,163 "," 405,060 ",0.03%,0.22%,0.01%,0.21%,4.82%,4.40%,2.59%,4.76%,4.0,0.19%,-0.11%,-0.63%,0.12%
2000-06-05,6.53,74.754, 4.12 ,75.8,0.02091,97.4,6,72.9, (30.9), (2.0), 11.0 , (0.3),3%,-49%,107%,-34%,34%,-138%,8%,-65%," 14,141 "," 2,137,375 "," 482,212 "," 405,927 ",0.03%,0.22%,0.01%,0.21%,4.40%,4.17%,2.41%,4.43%,4.0,0.19%,-0.11%,-0.63%,0.12%
2000-07-06,6.54,74.925, 4.25 ,75.87,0.021,97.1,6,72.5, (31.9), 1.8 , 9.3 , (1.3),3%,-190%,-16%,379%,36%,-80%,-15%,118%," 14,145 "," 2,142,037 "," 482,261 "," 406,795 ",0.03%,0.22%,0.01%,0.21%,3.97%,3.95%,2.24%,4.10%,4.0,0.19%,-0.11%,-0.63%,0.12%
2000-08-06,6.5,75.021, 4.25 ,75.93,0.15522,97.4,6,72.5, (30.6), (4.0), 5.6 , (0.6),-4%,-322%,-39%,-56%,33%,-873%,-8%,17%," 14,173 "," 2,145,445 "," 483,808 "," 407,665 ",0.20%,0.16%,0.32%,0.21%,3.62%,3.76%,2.56%,3.83%,4.1,0.19%,-0.11%,-0.63%,0.12%
2000-09-06,6.52,75.203, 4.50 ,76.26,0.2495,97.3,6,73.1, (33.9), (4.1), 12.0 , (0.8),11%,2%,113%,40%,47%,349%,0%,253%," 14,202 "," 2,148,859 "," 485,360 "," 408,537 ",0.20%,0.16%,0.32%,0.21%,3.26%,3.57%,2.88%,3.56%,3.9,0.19%,-0.11%,-0.63%,0.12%
2000-10-07,6.51,75.308, 4.71 ,76.3,0.24762,97.3,6,73.1, (34.0), (2.6), 6.4 , (0.9),0%,-35%,-47%,14%,43%,-183%,-38%,160%," 14,230 "," 2,152,278 "," 486,917 "," 409,411 ",0.20%,0.16%,0.32%,0.21%,2.91%,3.38%,3.20%,3.29%,3.9,0.19%,-0.11%,-0.63%,0.12%
2000-11-07,6.51,75.441, 4.75 ,76.46,0.2475,97,6,73.2, (32.2), (4.0), 5.5 , (1.3),-5%,52%,-14%,34%,30%,-775%,-5%,235%," 14,214 "," 2,160,179 "," 488,123 "," 410,622 ",-0.11%,0.37%,0.25%,0.30%,2.67%,3.30%,2.87%,3.18%,3.9,0.19%,-0.11%,-0.63%,0.12%
2000-12-08,6.4,75.515, 4.75 ,76.75,0.24143,97.1,6,73.2, (32.3), (3.7), 7.6 , (1.0),0%,-8%,37%,-18%,28%,-1702%,-23%,223%," 14,199 "," 2,168,110 "," 489,331 "," 411,836 ",-0.11%,0.37%,0.25%,0.30%,2.43%,3.23%,2.53%,3.06%,3.9,0.19%,-0.11%,-0.63%,0.12%
2001-01-02,5.98,75.796, 4.75 ,76.43,0.24895,97.1,6,72.6, (35.2), (8.3), (0.8), (0.5),9%,127%,-111%,-49%,33%,-2%,-117%,-16%," 14,183 "," 2,176,070 "," 490,543 "," 413,054 ",-0.11%,0.37%,0.25%,0.30%,2.20%,3.15%,2.20%,2.94%,4.2,0.10%,-0.17%,-0.53%,-0.04%
2001-02-02,5.49,75.930, 4.75 ,76.66,0.24842,96.8,6,72.7, (29.3), 0.0 , 7.2 , (0.5),-17%,-100%,-989%,-10%,2%,-164%,-34%,-11%," 14,213 "," 2,176,468 "," 489,308 "," 413,661 ",0.21%,0.02%,-0.25%,0.15%,1.80%,2.87%,1.79%,2.84%,4.2,0.10%,-0.17%,-0.53%,-0.04%
2001-03-05,5.31,76.009, 4.75 ,77.07,0.10667,96.7,5.75,73, (32.8), 2.2 , 7.5 , (0.9),12%,12432%,4%,81%,9%,-423%,-27%,199%," 14,242 "," 2,176,866 "," 488,077 "," 414,269 ",0.21%,0.02%,-0.25%,0.15%,1.40%,2.59%,1.39%,2.74%,4.3,0.10%,-0.17%,-0.53%,-0.04%
2001-04-05,4.8,76.130, 4.75 ,77.54,0.02,96.8,5.5,73.4, (30.5), (1.3), 5.4 , (1.1),-7%,-162%,-27%,25%,6%,-48%,-49%,72%," 14,272 "," 2,177,264 "," 486,849 "," 414,878 ",0.21%,0.02%,-0.25%,0.15%,1.00%,2.31%,0.98%,2.64%,4.4,0.10%,-0.17%,-0.53%,-0.04%
2001-05-06,4.21,76.148, 4.58 ,77.9,0.01857,96.9,5.5,74, (27.1), 0.6 , 0.6 , (1.3),-11%,-144%,-89%,19%,-9%,-115%,-88%,200%," 14,253 "," 2,178,687 "," 485,092 "," 415,612 ",-0.13%,0.07%,-0.36%,0.18%,0.83%,2.16%,0.61%,2.61%,4.3,0.10%,-0.17%,-0.53%,-0.04%
2001-06-06,3.97,76.318, 4.50 ,78.02,0.01762,96.7,5.25,74.1, (29.2), 4.3 , 6.2 , (1.6),8%,625%,899%,26%,-6%,-312%,-43%,470%," 14,234 "," 2,180,111 "," 483,342 "," 416,348 ",-0.13%,0.07%,-0.36%,0.18%,0.66%,2.00%,0.23%,2.57%,4.5,0.10%,-0.17%,-0.53%,-0.04%
2001-07-07,3.77,76.515, 4.50 ,77.84,0.01286,96.4,5.25,73.6, (29.9), 8.2 , 3.4 , (1.3),3%,93%,-45%,-16%,-6%,356%,-63%,0%," 14,215 "," 2,181,537 "," 481,598 "," 417,085 ",-0.13%,0.07%,-0.36%,0.18%,0.49%,1.84%,-0.14%,2.53%,4.6,0.10%,-0.17%,-0.53%,-0.04%
2001-08-07,3.65,76.553, 4.49 ,77.78,0.01,96.7,5,73.9, (28.1), 4.6 , 2.5 , (1.7),-6%,-44%,-26%,28%,-8%,-215%,-55%,192%," 14,228 "," 2,181,198 "," 481,027 "," 417,538 ",0.09%,-0.02%,-0.12%,0.11%,0.38%,1.67%,-0.57%,2.42%,4.9,0.10%,-0.17%,-0.53%,-0.04%
2001-09-07,3.07,76.118, 4.03 ,77.99,0.00505,96.6,5,74.1, (30.2), 3.8 , 8.6 , (1.1),8%,-18%,236%,-35%,-11%,-193%,-29%,35%," 14,241 "," 2,180,859 "," 480,457 "," 417,991 ",0.09%,-0.02%,-0.12%,0.11%,0.27%,1.49%,-1.01%,2.31%,5.0,0.10%,-0.17%,-0.53%,-0.04%
2001-10-08,2.49,76.654, 3.75 ,78.06,0.00314,96.6,4.5,73.9, (30.6), 9.7 , 3.8 , (1.1),1%,156%,-56%,0%,-10%,-469%,-41%,19%," 14,254 "," 2,180,521 "," 479,888 "," 418,445 ",0.09%,-0.02%,-0.12%,0.11%,0.17%,1.31%,-1.44%,2.21%,5.3,0.10%,-0.17%,-0.53%,-0.04%
2001-11-08,2.09,76.810, 3.38 ,78.01,0.00243,96.1,4,73.8, (30.0), 5.7 , 4.0 , (1.2),-2%,-41%,7%,4%,-7%,-243%,-27%,-7%," 14,293 "," 2,181,947 "," 480,171 "," 418,808 ",0.28%,0.07%,0.06%,0.09%,0.56%,1.01%,-1.63%,1.99%,5.5,0.10%,-0.17%,-0.53%,-0.04%
2001-12-09,1.82,76.828, 2.83 ,78.36,0.00184,96,4,74, (27.5), 7.5 , 5.4 , (1.5),-8%,31%,34%,27%,-15%,-304%,-28%,45%," 14,333 "," 2,183,373 "," 480,454 "," 419,171 ",0.28%,0.07%,0.06%,0.09%,0.95%,0.70%,-1.81%,1.78%,5.7,0.10%,-0.17%,-0.53%,-0.04%
2002-01-03,1.73,76.871, 2.75 ,78.45,0.00111,95.8,4,73.7, (29.7), (0.6), 1.4 , (1.0),8%,-107%,-75%,-36%,-16%,-93%,-267%,83%," 14,373 "," 2,184,801 "," 480,738 "," 419,534 ",0.28%,0.07%,0.06%,0.09%,1.34%,0.40%,-2.00%,1.57%,5.7,-0.13%,-0.23%,-0.67%,-0.24%
2002-02-03,1.74,77.018, 2.75 ,78.58,0.001,95.3,4,73.8, (32.5), 5.5 , 6.2 , (1.5),10%,-1089%,357%,60%,11%,31760%,-14%,224%," 14,402 "," 2,188,401 "," 482,015 "," 420,217 ",0.20%,0.16%,0.27%,0.16%,1.33%,0.55%,-1.49%,1.58%,5.7,-0.13%,-0.23%,-0.67%,-0.24%
2002-03-06,1.73,77.110, 2.54 ,79.02,0.00205,95.5,4,74.1, (31.2), 9.0 , 10.0 , (1.6),-4%,65%,62%,2%,-5%,319%,34%,83%," 14,431 "," 2,192,008 "," 483,295 "," 420,902 ",0.20%,0.16%,0.27%,0.16%,1.33%,0.70%,-0.98%,1.60%,5.7,-0.13%,-0.23%,-0.67%,-0.24%
2002-04-06,1.75,77.325, 2.50 ,79.38,0.00148,95.8,4,74.4, (34.0), 2.5 , 6.6 , (1.8),9%,-72%,-34%,16%,11%,-292%,21%,70%," 14,461 "," 2,195,620 "," 484,578 "," 421,587 ",0.20%,0.16%,0.27%,0.16%,1.33%,0.84%,-0.47%,1.62%,5.9,-0.13%,-0.23%,-0.67%,-0.24%
2002-05-07,1.75,77.411, 2.50 ,79.52,0.00138,96.1,4,74.6, (34.0), 7.0 , 4.9 , (1.2),0%,174%,-25%,-32%,26%,1090%,687%,-3%," 14,480 "," 2,198,830 "," 485,112 "," 422,531 ",0.14%,0.15%,0.11%,0.22%,1.60%,0.92%,0.00%,1.66%,5.8,-0.13%,-0.23%,-0.67%,-0.24%
2002-06-07,1.75,77.534, 2.50 ,79.49,0.0014,96,4,74.6, (34.7), 9.3 , 9.7 , (1.6),2%,33%,98%,34%,19%,119%,56%,3%," 14,500 "," 2,202,045 "," 485,646 "," 423,477 ",0.14%,0.15%,0.11%,0.22%,1.87%,1.01%,0.48%,1.71%,5.8,-0.13%,-0.23%,-0.67%,-0.24%
2002-07-08,1.73,77.692, 2.50 ,79.41,0.00178,95.6,4,74.4, (33.9), 13.2 , 5.9 , (1.5),-2%,42%,-39%,-11%,13%,61%,73%,9%," 14,520 "," 2,205,265 "," 486,181 "," 424,425 ",0.14%,0.15%,0.11%,0.22%,2.15%,1.09%,0.95%,1.76%,5.8,-0.13%,-0.23%,-0.67%,-0.24%
2002-08-08,1.74,77.845, 2.50 ,79.46,0.00186,95.9,4,74.6, (36.4), 7.4 , 5.1 , (1.3),7%,-44%,-14%,-8%,30%,61%,100%,-22%," 14,526 "," 2,206,646 "," 486,618 "," 425,522 ",0.04%,0.06%,0.09%,0.26%,2.10%,1.17%,1.16%,1.91%,5.7,-0.13%,-0.23%,-0.67%,-0.24%
2002-09-08,1.75,77.972, 2.50 ,79.66,0.00526,95.9,4,74.8, (36.1), 7.7 , 8.4 , (1.3),-1%,5%,64%,0%,19%,105%,-2%,20%," 14,532 "," 2,208,027 "," 487,056 "," 426,622 ",0.04%,0.06%,0.09%,0.26%,2.04%,1.25%,1.37%,2.06%,5.7,-0.13%,-0.23%,-0.67%,-0.24%
2002-10-09,1.75,78.038, 2.50 ,79.85,0.00191,95.7,4,74.9, (35.1), 8.0 , 7.1 , (2.0),-3%,4%,-15%,46%,15%,-17%,87%,75%," 14,538 "," 2,209,410 "," 487,494 "," 427,725 ",0.04%,0.06%,0.09%,0.26%,1.99%,1.32%,1.58%,2.22%,5.7,-0.13%,-0.23%,-0.67%,-0.24%
2002-11-09,1.34,78.114, 2.50 ,79.79,0.00195,95.7,4,74.9, (39.5), 7.4 , 7.1 , (2.4),13%,-8%,0%,23%,32%,29%,75%,106%," 14,563 "," 2,207,574 "," 487,595 "," 428,758 ",0.18%,-0.08%,0.02%,0.24%,1.89%,1.17%,1.55%,2.38%,5.9,-0.13%,-0.23%,-0.67%,-0.24%
2002-12-10,1.24,78.187, 2.50 ,80.17,0.00195,95.7,4,75.2, (43.6), 5.1 , 6.3 , (1.5),10%,-31%,-11%,-38%,59%,-31%,17%,1%," 14,589 "," 2,205,739 "," 487,697 "," 429,794 ",0.18%,-0.08%,0.02%,0.24%,1.78%,1.02%,1.51%,2.53%,6.0,-0.13%,-0.23%,-0.67%,-0.24%
2003-01-04,1.24,78.240, 2.50 ,80.14,0.002,95.4,4,74.7, (41.2), (0.2), 0.8 , (1.0),-6%,-104%,-87%,-34%,39%,-60%,-39%,3%," 14,614 "," 2,203,906 "," 487,799 "," 430,832 ",0.18%,-0.08%,0.02%,0.24%,1.68%,0.87%,1.47%,2.69%,5.8,-0.28%,-0.26%,-0.64%,-0.29%
2003-02-04,1.26,78.348, 2.50 ,80.46,0.001,95.1,4,75, (40.1), 2.7 , 8.0 , (1.0),-3%,-1354%,865%,0%,23%,-50%,29%,-35%," 14,657 "," 2,204,018 "," 488,899 "," 432,163 ",0.29%,0.01%,0.23%,0.31%,1.77%,0.71%,1.43%,2.84%,5.9,-0.28%,-0.26%,-0.64%,-0.29%
2003-03-07,1.25,78.474, 2.50 ,80.93,0.002,95.4,3.75,75.3, (43.8), 1.0 , 8.3 , (1.5),9%,-64%,4%,55%,41%,-89%,-18%,-2%," 14,700 "," 2,204,130 "," 490,002 "," 433,498 ",0.29%,0.01%,0.23%,0.31%,1.86%,0.55%,1.39%,2.99%,5.9,-0.28%,-0.26%,-0.64%,-0.29%
2003-04-07,1.26,78.561, 2.50 ,81.05,0.001,95.7,3.75,75.5, (42.0), 0.5 , 7.1 , (0.5),-4%,-48%,-14%,-66%,24%,-80%,8%,-71%," 14,744 "," 2,204,241 "," 491,107 "," 434,837 ",0.29%,0.01%,0.23%,0.31%,1.96%,0.39%,1.35%,3.14%,6.0,-0.28%,-0.26%,-0.64%,-0.29%
2003-05-08,1.26,78.674, 2.50 ,81,0.001,95.9,3.75,75.5, (41.0), 2.1 , 5.9 , (1.4),-2%,313%,-17%,174%,21%,-70%,21%,16%," 14,825 "," 2,208,802 "," 491,614 "," 436,124 ",0.55%,0.21%,0.10%,0.30%,2.38%,0.45%,1.34%,3.22%,6.1,-0.28%,-0.26%,-0.64%,-0.29%
2003-06-08,1.22,78.718, 2.08 ,81.1,0.001,95.6,3.75,75.4, (39.7), 4.6 , 7.2 , (1.9),-3%,117%,22%,34%,14%,-51%,-26%,16%," 14,907 "," 2,213,373 "," 492,123 "," 437,415 ",0.55%,0.21%,0.10%,0.30%,2.80%,0.51%,1.33%,3.29%,6.3,-0.28%,-0.26%,-0.64%,-0.29%
2003-07-09,1.01,78.915, 2.00 ,80.98,0.002,95.4,3.75,75.3, (41.3), 10.0 , 6.8 , (1.1),4%,117%,-6%,-41%,22%,-24%,15%,-23%," 14,989 "," 2,217,953 "," 492,631 "," 438,710 ",0.55%,0.21%,0.10%,0.30%,3.23%,0.58%,1.33%,3.37%,6.2,-0.28%,-0.26%,-0.64%,-0.29%
2003-08-09,1.03,79.004, 2.00 ,81.1,0.001,95.6,3.5,75.6, (39.9), 4.8 , 6.7 , (1.2),-3%,-52%,-1%,2%,10%,-35%,32%,-15%," 15,047 "," 2,222,574 "," 494,408 "," 439,861 ",0.39%,0.21%,0.36%,0.26%,3.59%,0.72%,1.60%,3.37%,6.1,-0.28%,-0.26%,-0.64%,-0.29%
2003-09-09,1.01,79.114, 2.00 ,81.39,0.002,95.7,3.5,75.9, (41.8), 5.6 , 9.5 , (2.1),5%,19%,41%,79%,16%,-27%,13%,54%," 15,105 "," 2,227,204 "," 496,191 "," 441,015 ",0.39%,0.21%,0.36%,0.26%,3.94%,0.87%,1.88%,3.37%,6.1,-0.28%,-0.26%,-0.64%,-0.29%
2003-10-10,1.01,79.260, 2.00 ,81.51,0.001,95.7,3.5,76, (41.4), 6.8 , 9.2 , (1.5),-1%,21%,-3%,-26%,18%,-15%,30%,-22%," 15,163 "," 2,231,844 "," 497,980 "," 442,172 ",0.39%,0.21%,0.36%,0.26%,4.30%,1.02%,2.15%,3.38%,6.0,-0.28%,-0.26%,-0.64%,-0.29%
2003-11-10,1,79.368, 2.00 ,81.54,0.001,95.2,3.75,75.9, (39.9), 3.0 , 8.5 , (1.6),-4%,-56%,-7%,8%,1%,-59%,20%,-32%," 15,191 "," 2,236,131 "," 499,231 "," 442,732 ",0.19%,0.19%,0.25%,0.13%,4.31%,1.29%,2.39%,3.26%,5.8,-0.28%,-0.26%,-0.64%,-0.29%
2003-12-11,0.98,79.467, 2.00 ,81.79,0.001,95.3,3.75,76.2, (44.1), 5.6 , 10.4 , (4.4),10%,88%,22%,169%,1%,10%,64%,196%," 15,220 "," 2,240,427 "," 500,486 "," 443,292 ",0.19%,0.19%,0.25%,0.13%,4.33%,1.57%,2.62%,3.14%,5.7,-0.28%,-0.26%,-0.64%,-0.29%
2004-01-05,1,79.671, 2.00 ,81.61,0,95.1,3.75,75.8, (44.6), 0.2 , 4.6 , (5.5),1%,-96%,-56%,25%,8%,-196%,453%,459%," 15,249 "," 2,244,731 "," 501,743 "," 443,853 ",0.19%,0.19%,0.25%,0.13%,4.34%,1.85%,2.86%,3.02%,5.7,-0.28%,-0.24%,-0.48%,-0.33%
2004-02-05,1.01,79.800, 2.00 ,81.8,0.001,95.1,4,76, (44.6), 6.8 , 13.1 , (4.0),0%,3125%,186%,-28%,11%,147%,64%,303%," 15,288 "," 2,249,197 "," 501,714 "," 444,715 ",0.26%,0.20%,-0.01%,0.19%,4.30%,2.05%,2.62%,2.90%,5.6,-0.28%,-0.24%,-0.48%,-0.33%
2004-03-07,1,79.934, 2.00 ,82.32,0.001,95.3,4,76.1, (46.8), 10.1 , 10.3 , (3.9),5%,50%,-21%,-3%,7%,924%,24%,154%," 15,327 "," 2,253,672 "," 501,686 "," 445,578 ",0.26%,0.20%,-0.01%,0.19%,4.27%,2.25%,2.38%,2.79%,5.8,-0.28%,-0.24%,-0.48%,-0.33%
2004-04-07,1,80.142, 2.00 ,82.74,0,95.3,4,76.4, (47.3), 5.6 , 10.0 , (3.9),1%,-44%,-3%,1%,12%,996%,39%,655%," 15,367 "," 2,258,156 "," 501,657 "," 446,443 ",0.26%,0.20%,-0.01%,0.19%,4.23%,2.45%,2.15%,2.67%,5.6,-0.28%,-0.24%,-0.48%,-0.33%
2004-05-08,1,80.252, 2.00 ,83.01,0.001,95.4,4.25,76.6, (47.6), 6.8 , 8.4 , (4.8),1%,20%,-16%,22%,16%,218%,41%,237%," 15,415 "," 2,259,910 "," 502,697 "," 447,018 ",0.32%,0.08%,0.21%,0.13%,3.98%,2.31%,2.25%,2.50%,5.6,-0.28%,-0.24%,-0.48%,-0.33%
2004-06-08,1.03,80.379, 2.00 ,83.05,0.001,95.6,4.25,76.6, (54.2), 7.8 , 10.4 , (5.6),14%,16%,25%,17%,36%,70%,44%,194%," 15,464 "," 2,261,665 "," 503,739 "," 447,594 ",0.32%,0.08%,0.21%,0.13%,3.74%,2.18%,2.36%,2.33%,5.6,-0.28%,-0.24%,-0.48%,-0.33%
2004-07-09,1.26,80.474, 2.00 ,82.88,0,95.3,4.5,76.4, (51.6), 14.2 , 10.3 , (5.1),-5%,82%,-1%,-8%,25%,42%,52%,354%," 15,513 "," 2,263,421 "," 504,783 "," 448,171 ",0.32%,0.08%,0.21%,0.13%,3.49%,2.05%,2.47%,2.16%,5.5,-0.28%,-0.24%,-0.48%,-0.33%
2004-08-09,1.43,80.505, 2.00 ,83.04,0.001,95.4,4.75,76.6, (53.6), 1.0 , 5.2 , (5.6),4%,-93%,-50%,9%,34%,-80%,-23%,387%," 15,565 "," 2,266,525 "," 504,468 "," 448,934 ",0.34%,0.14%,-0.06%,0.17%,3.45%,1.98%,2.03%,2.06%,5.4,-0.28%,-0.24%,-0.48%,-0.33%
